,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210603,596.38,596.85,596.33,596.62,1378,08:44:00
1,20210603,596.25,596.26,595.76,595.97,1347,08:45:00
2,20210603,595.82,596.26,595.72,596.2,899,08:46:00
3,20210603,597.14,597.14,597.14,597.14,711,08:47:00
4,20210603,597.03,597.67,596.83,597.64,1535,08:48:00
5,20210603,598.58,599.72,598.48,598.85,3149,08:49:00
6,20210603,598.6,598.97,598.6,598.97,557,08:50:00
7,20210603,598.99,599.27,598.99,599.27,1381,08:51:00
8,20210603,599.84,600.77,599.84,600.76,2913,08:52:00
9,20210603,601.19,601.58,600.71,601.21,3278,08:53:00
10,20210603,601.065,601.065,599.99,600.47,1279,08:54:00
11,20210603,600.63,600.99,600.54,600.99,1374,08:55:00
12,20210603,601.63,602.51,601.54,601.94,2830,08:56:00
13,20210603,601.98,602.23,601.41,601.57,1835,08:57:00
14,20210603,601.5,604.0,601.5,603.39,3533,08:58:00
15,20210603,603.56,604.08,603.56,604.08,1134,08:59:00
16,20210603,604.16,604.54,604.0,604.18,1487,09:00:00
17,20210603,603.38,603.385,603.065,603.35,1544,09:01:00
18,20210603,603.14,603.52,603.14,603.45,1264,09:02:00
19,20210603,603.56,603.56,603.24,603.24,946,09:03:00
20,20210603,603.15,603.16,602.19,602.47,2464,09:04:00
21,20210603,602.83,603.13,602.43,602.58,1140,09:05:00
22,20210603,602.06,602.06,601.98,601.98,1046,09:06:00
23,20210603,602.13,602.39,601.915,602.26,1085,09:07:00
24,20210603,601.78,601.84,601.5,601.83,1701,09:08:00
25,20210603,601.73,601.775,601.42,601.71,770,09:09:00
26,20210603,601.78,601.78,600.19,600.75,1841,09:10:00
27,20210603,600.92,600.92,600.56,600.9,1781,09:11:00
28,20210603,601.45,601.45,600.97,601.23,626,09:12:00
29,20210603,600.8,601.215,600.675,601.19,1211,09:13:00
30,20210603,601.01,601.01,600.21,600.26,1227,09:15:00
31,20210603,600.28,600.36,599.14,599.14,3270,09:16:00
32,20210603,599.47,599.64,599.4,599.5,1010,09:17:00
33,20210603,599.71,599.71,599.43,599.63,911,09:18:00
34,20210603,599.72,599.72,599.53,599.53,323,09:19:00
35,20210603,599.83,599.83,599.58,599.66,764,09:20:00
36,20210603,599.51,599.51,599.305,599.38,469,09:21:00
37,20210603,599.47,599.47,598.9,599.12,2180,09:22:00
38,20210603,599.09,599.92,599.09,599.81,977,09:23:00
39,20210603,599.73,600.6,599.67,600.235,1945,09:24:00
40,20210603,599.96,600.71,599.95,600.71,1377,09:25:00
41,20210603,600.48,600.49,599.805,599.805,1531,09:26:00
42,20210603,599.49,599.49,598.63,598.71,2454,09:27:00
43,20210603,599.415,599.56,599.415,599.505,988,09:28:00
44,20210603,599.765,600.875,599.765,600.66,1602,09:29:00
45,20210603,600.67,601.84,600.67,600.93,1251,09:30:00
46,20210603,600.78,600.78,600.03,600.03,999,09:31:00
47,20210603,600.14,600.14,599.44,599.81,1996,09:32:00
