,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210517,3.52,3.52,3.52,3.52,224,07:52:00
1,20210517,3.515,3.515,3.515,3.515,100,08:01:00
2,20210517,3.5,3.5,3.48,3.48,200,08:03:00
3,20210517,3.49,3.49,3.49,3.49,100,08:06:00
4,20210517,3.54,3.55,3.54,3.55,349,08:11:00
5,20210517,3.58,3.58,3.58,3.58,100,08:15:00
6,20210517,3.56,3.56,3.56,3.56,200,08:23:00
7,20210517,3.65,3.65,3.65,3.65,100,08:52:00
8,20210517,3.6,3.6,3.6,3.6,200,08:55:00
9,20210517,3.62,3.62,3.62,3.62,100,09:27:00
10,20210517,3.6,3.6,3.6,3.6,100,09:30:00
11,20210517,3.6,3.6,3.6,3.6,200,09:35:00
12,20210517,3.57,3.57,3.57,3.57,100,09:40:00
13,20210517,3.58,3.58,3.58,3.58,100,09:56:00
14,20210517,3.55,3.55,3.55,3.55,100,10:14:00
15,20210517,3.58,3.58,3.58,3.58,100,10:31:00
16,20210517,3.65,3.65,3.65,3.65,100,10:46:00
17,20210517,3.59,3.59,3.59,3.59,100,11:25:00
18,20210517,3.58,3.58,3.58,3.58,100,11:47:00
19,20210517,3.58,3.58,3.58,3.58,100,11:56:00
20,20210517,3.63,3.63,3.63,3.63,400,12:20:00
21,20210517,3.6,3.6,3.6,3.6,176,12:44:00
22,20210517,3.63,3.63,3.63,3.63,100,13:13:00
23,20210517,3.635,3.635,3.635,3.635,100,13:23:00
24,20210517,3.62,3.62,3.62,3.62,100,13:40:00
25,20210517,3.65,3.65,3.65,3.65,200,13:53:00
26,20210517,3.64,3.64,3.64,3.64,100,13:55:00
27,20210517,3.65,3.65,3.65,3.65,200,13:56:00
28,20210517,3.65,3.655,3.65,3.65,300,13:57:00
29,20210517,3.66,3.66,3.66,3.66,100,13:58:00
30,20210518,3.69,3.7,3.69,3.7,200,07:36:00
31,20210518,3.7,3.7,3.7,3.7,100,07:41:00
32,20210518,3.69,3.69,3.69,3.69,100,07:45:00
33,20210518,3.74,3.74,3.72,3.72,500,07:57:00
34,20210518,3.74,3.74,3.74,3.74,100,08:10:00
35,20210518,3.73,3.73,3.73,3.73,100,08:17:00
36,20210518,3.75,3.75,3.75,3.75,800,08:18:00
37,20210518,3.8,3.8,3.8,3.8,100,08:19:00
38,20210518,3.81,3.81,3.8,3.8,600,08:20:00
39,20210518,3.78,3.78,3.78,3.78,759,08:23:00
40,20210518,3.78,3.78,3.78,3.78,641,08:24:00
41,20210518,3.78,3.78,3.78,3.78,200,08:27:00
42,20210518,3.72,3.72,3.72,3.72,600,08:34:00
43,20210518,3.73,3.73,3.73,3.73,100,08:50:00
44,20210518,3.71,3.71,3.71,3.71,100,08:52:00
45,20210518,3.67,3.67,3.67,3.67,100,08:59:00
46,20210518,3.69,3.69,3.69,3.69,100,09:00:00
47,20210518,3.67,3.67,3.67,3.67,100,09:13:00
48,20210518,3.65,3.65,3.65,3.65,900,09:16:00
49,20210518,3.685,3.685,3.685,3.685,100,09:20:00
50,20210518,3.65,3.65,3.65,3.65,100,09:31:00
51,20210518,3.64,3.64,3.64,3.64,100,09:39:00
52,20210518,3.58,3.6,3.58,3.6,400,09:42:00
53,20210518,3.61,3.61,3.61,3.61,125,09:45:00
54,20210518,3.61,3.61,3.61,3.61,622,09:48:00
55,20210518,3.6,3.6,3.6,3.6,100,09:54:00
56,20210518,3.58,3.58,3.58,3.58,101,10:38:00
57,20210518,3.57,3.57,3.56,3.56,2200,11:49:00
58,20210518,3.545,3.545,3.545,3.545,200,12:04:00
59,20210518,3.55,3.55,3.55,3.55,100,12:12:00
60,20210518,3.54,3.54,3.54,3.54,300,12:35:00
61,20210518,3.565,3.565,3.565,3.565,100,12:50:00
62,20210518,3.58,3.58,3.58,3.58,200,13:11:00
