,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210517,3.005,3.005,3.005,3.005,100,12:45:00
1,20210517,3.01,3.01,3.01,3.01,100,12:50:00
2,20210517,3.015,3.015,3.015,3.015,100,13:03:00
3,20210517,3.025,3.025,3.025,3.025,100,13:09:00
4,20210517,3.03,3.03,3.03,3.03,100,13:12:00
5,20210517,3.025,3.025,3.025,3.025,468,13:13:00
6,20210517,3.035,3.035,3.03,3.03,200,13:16:00
7,20210517,3.03,3.03,3.03,3.03,100,13:35:00
8,20210517,3.03,3.03,3.03,3.03,100,13:38:00
9,20210517,3.05,3.05,3.05,3.05,500,13:41:00
10,20210517,3.05,3.05,3.05,3.05,100,13:42:00
11,20210517,3.05,3.05,3.05,3.05,356,13:46:00
12,20210517,3.05,3.05,3.05,3.05,199,13:49:00
13,20210517,3.05,3.05,3.05,3.05,300,13:50:00
14,20210517,3.05,3.05,3.05,3.05,200,13:52:00
15,20210517,3.05,3.05,3.05,3.05,300,13:53:00
16,20210517,3.06,3.06,3.06,3.06,211,13:55:00
17,20210518,3.02,3.02,3.02,3.02,102,07:30:00
18,20210518,3.03,3.03,3.03,3.03,100,07:34:00
19,20210518,3.03,3.03,3.03,3.03,100,07:49:00
20,20210518,3.075,3.075,2.95,2.95,4147,07:58:00
21,20210518,2.99,2.99,2.985,2.985,400,07:59:00
22,20210518,2.98,2.98,2.98,2.98,100,08:09:00
23,20210518,2.965,2.965,2.965,2.965,100,08:13:00
24,20210518,2.965,2.965,2.965,2.965,301,08:14:00
25,20210518,3.0,3.0,3.0,3.0,100,08:28:00
26,20210518,2.955,2.955,2.955,2.955,100,08:43:00
27,20210518,2.96,2.96,2.96,2.96,100,08:44:00
28,20210518,2.965,2.975,2.965,2.975,200,08:45:00
29,20210518,3.0,3.0,3.0,3.0,500,08:53:00
30,20210518,2.97,2.97,2.97,2.97,100,09:28:00
31,20210518,2.94,2.94,2.94,2.94,100,09:35:00
32,20210518,2.97,2.97,2.97,2.97,100,09:41:00
33,20210518,2.955,2.955,2.955,2.955,100,09:42:00
34,20210518,3.0,3.0,3.0,3.0,100,10:02:00
35,20210518,2.99,2.99,2.99,2.99,100,10:10:00
36,20210518,3.0,3.0,3.0,3.0,100,10:55:00
37,20210518,3.0,3.0,3.0,3.0,103,11:22:00
38,20210518,3.01,3.01,3.01,3.01,100,11:26:00
39,20210518,3.015,3.015,3.015,3.015,302,11:46:00
40,20210518,3.045,3.045,3.045,3.045,178,12:01:00
41,20210518,3.03,3.03,3.03,3.03,100,12:20:00
42,20210518,3.02,3.02,3.02,3.02,148,12:30:00
43,20210518,3.025,3.025,3.025,3.025,100,12:32:00
44,20210518,3.01,3.01,3.01,3.01,103,12:33:00
45,20210518,3.0,3.0,3.0,3.0,100,13:15:00
46,20210518,3.025,3.025,3.02,3.02,202,13:28:00
47,20210518,3.03,3.03,3.03,3.03,100,13:30:00
48,20210518,3.03,3.03,3.03,3.03,102,13:49:00
49,20210518,3.03,3.03,3.03,3.03,101,13:50:00
50,20210518,3.025,3.025,3.025,3.025,217,13:52:00
51,20210518,3.03,3.03,3.03,3.03,100,13:53:00
52,20210518,3.015,3.015,3.015,3.015,101,13:55:00
53,20210518,3.005,3.01,3.005,3.01,200,13:56:00
54,20210518,3.01,3.01,3.005,3.01,600,13:57:00
55,20210518,3.005,3.005,3.005,3.005,200,13:59:00
56,20210519,2.96,2.96,2.96,2.96,100,07:30:00
57,20210519,2.96,2.96,2.96,2.96,101,07:31:00
58,20210519,2.97,2.98,2.97,2.98,600,07:33:00
59,20210519,2.98,2.98,2.98,2.98,100,07:36:00
60,20210519,2.95,2.95,2.95,2.95,500,07:38:00
61,20210519,2.97,2.97,2.965,2.965,300,07:40:00
62,20210519,2.96,2.96,2.96,2.96,500,07:42:00
63,20210519,2.95,2.95,2.95,2.95,100,07:48:00
64,20210519,3.0,3.0,3.0,3.0,101,07:52:00
65,20210519,3.15,3.15,3.15,3.15,100,08:04:00
66,20210519,3.13,3.17,3.12,3.17,800,08:05:00
67,20210519,3.15,3.15,3.15,3.15,500,08:06:00
68,20210519,3.11,3.11,3.11,3.11,100,08:07:00
69,20210519,3.105,3.105,3.105,3.105,100,08:11:00
70,20210519,3.09,3.09,3.09,3.09,100,08:15:00
71,20210519,3.08,3.08,3.08,3.08,500,08:17:00
72,20210519,3.07,3.07,3.07,3.07,644,08:24:00
73,20210519,3.02,3.02,3.02,3.02,2000,08:31:00
74,20210519,2.985,2.985,2.985,2.985,200,08:34:00
75,20210519,3.01,3.01,3.01,3.01,400,08:40:00
76,20210519,3.03,3.03,3.03,3.03,100,08:50:00
77,20210519,3.03,3.03,3.03,3.03,100,08:53:00
78,20210519,3.01,3.01,3.01,3.01,100,08:58:00
79,20210519,3.02,3.02,3.02,3.02,100,09:02:00
80,20210519,3.01,3.01,3.01,3.01,100,09:04:00
81,20210519,3.035,3.04,3.035,3.04,553,09:07:00
82,20210519,3.06,3.06,3.06,3.06,478,09:08:00
83,20210519,3.02,3.02,3.02,3.02,118,09:20:00
84,20210519,3.04,3.04,3.04,3.04,100,09:25:00
85,20210519,3.04,3.04,3.04,3.04,500,09:30:00
86,20210519,3.03,3.03,3.03,3.03,100,09:31:00
87,20210519,3.05,3.05,3.05,3.05,100,09:37:00
88,20210519,3.04,3.04,3.04,3.04,100,09:47:00
89,20210519,3.005,3.01,3.005,3.01,908,10:11:00
90,20210519,3.02,3.02,3.02,3.02,600,10:12:00
91,20210519,3.03,3.03,3.03,3.03,500,10:18:00
92,20210519,3.04,3.04,3.04,3.04,100,10:39:00
93,20210519,3.04,3.04,3.04,3.04,100,10:41:00
94,20210519,3.07,3.07,3.07,3.07,500,10:43:00
95,20210519,3.09,3.09,3.09,3.09,100,10:44:00
96,20210519,3.06,3.06,3.06,3.06,500,10:51:00
97,20210519,3.06,3.06,3.06,3.06,100,11:16:00
98,20210519,3.03,3.03,3.03,3.03,300,11:28:00
99,20210519,3.03,3.03,3.03,3.03,100,11:35:00
100,20210519,3.02,3.02,3.02,3.02,100,12:04:00
101,20210519,3.01,3.01,3.01,3.01,500,12:05:00
102,20210519,3.06,3.06,3.06,3.06,100,12:28:00
103,20210519,3.05,3.07,3.05,3.07,700,13:09:00
104,20210519,3.07,3.07,3.07,3.07,200,13:12:00
105,20210519,3.06,3.06,3.06,3.06,100,13:14:00
106,20210519,3.05,3.05,3.05,3.05,100,13:22:00
107,20210519,3.06,3.06,3.06,3.06,100,13:25:00
108,20210519,3.07,3.07,3.07,3.07,200,13:28:00
109,20210519,3.08,3.09,3.08,3.09,600,13:53:00
